nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 2145  Val samples: 543

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 97,379,069  Trainable: 4,064,560

=== Phase1 Epoch 0/49 ===
  Epoch 1 [460/537] loss=0.2119 mask=0.1668 iou=0.0451
  Epoch 1 [470/537] loss=0.2105 mask=0.1656 iou=0.0449
  Epoch 1 [480/537] loss=0.2096 mask=0.1650 iou=0.0446
  Epoch 1 [490/537] loss=0.2100 mask=0.1656 iou=0.0445
  Epoch 1 [500/537] loss=0.2106 mask=0.1663 iou=0.0443
  Epoch 1 [510/537] loss=0.2113 mask=0.1668 iou=0.0445
  Epoch 1 [520/537] loss=0.2117 mask=0.1671 iou=0.0446
  Epoch 1 [530/537] loss=0.2112 mask=0.1669 iou=0.0443
  Train: loss=0.2122 mask=0.1680 iou=0.0443 time=280.3s
  Val epoch 1: loss=0.2049
  Saved best phase1 model (val_loss=0.2049)

=== Phase1 Epoch 2/49 ===
  Epoch 2 [10/537] loss=0.1994 mask=0.1732 iou=0.0262
  Epoch 2 [20/537] loss=0.1885 mask=0.1566 iou=0.0318
  Epoch 2 [30/537] loss=0.1829 mask=0.1531 iou=0.0298
  Epoch 2 [40/537] loss=0.2041 mask=0.1668 iou=0.0373
  Epoch 2 [50/537] loss=0.2099 mask=0.1707 iou=0.0392
  Epoch 2 [60/537] loss=0.2099 mask=0.1703 iou=0.0396
  Epoch 2 [70/537] loss=0.1976 mask=0.1604 iou=0.0372
  Epoch 2 [80/537] loss=0.1962 mask=0.1596 iou=0.0367
  Epoch 2 [90/537] loss=0.1984 mask=0.1619 iou=0.0365
  Epoch 2 [100/537] loss=0.1930 mask=0.1574 iou=0.0356
  Epoch 2 [110/537] loss=0.1926 mask=0.1571 iou=0.0355
  Epoch 2 [120/537] loss=0.1956 mask=0.1597 iou=0.0359
  Epoch 2 [130/537] loss=0.1959 mask=0.1597 iou=0.0363
  Epoch 2 [140/537] loss=0.2000 mask=0.1631 iou=0.0370
  Epoch 2 [150/537] loss=0.1963 mask=0.1603 iou=0.0360
  Epoch 2 [160/537] loss=0.1961 mask=0.1605 iou=0.0356
  Epoch 2 [170/537] loss=0.1938 mask=0.1583 iou=0.0356
  Epoch 2 [180/537] loss=0.1954 mask=0.1592 iou=0.0363
  Epoch 2 [190/537] loss=0.1920 mask=0.1557 iou=0.0364
  Epoch 2 [200/537] loss=0.1954 mask=0.1582 iou=0.0372
